"acte";"nb_actes";"nb_sej_0_nuit";"dms"
"BAMA0150";"95";"64";"2.0752688172043"
"BAMA0160";"227";"149";"0.77419354838709"
"BAMA0170";"2289";"2062";"0.10542844324809"
"BAMA0180";"61";"46";"0.50819672131147"
"BAMA0190";"166";"97";"0.9390243902439"
"BAMA0200";"132";"89";"0.80152671755725"
"BAMB0010";"19";"19";"0"
"BANP0010";"30";"30";"0"
"BANP0030";"13";"12";"0.3076923076923"
"BANP0040";"109";"100";"0.03846153846153"
"BAPA0010";"83";"63";"1.93975903614457"
"BAPA0020";"899";"782";"0.45053635280095"
"BAPA0030";"1280";"1168";"0.09697933227344"
"BAPA0040";"155";"116";"0.66666666666666"
"BAPA0050";"125";"63";"0.70247933884297"
"BAQP0010";"68";"38";"4.08955223880597"
"BBCA0010";"179";"74";"0.81609195402298"
"BBCA0030";"2650";"777";"0.92378399080811"
"BBCE0010";"1540";"791";"0.71408549404344"
"BBFA0010";"21";".";"1.85"
"BBFA0020";"1582";"1323";"0.05079825834542"
"BBFA0030";"57";"36";"0.78947368421052"
"BBFA0040";"14";".";"0.69230769230769"
"BBGA0010";"88";"77";"0.26744186046511"
"BBHA0010";"81";"55";"1.64556962025316"
"BBHA0020";"12";".";"0.75"
"BBJD0010";"957";"732";"0.66557017543859"
"BBLD0010";"1907";"1074";"0.47441860465116"
"BBLD0020";"597";"469";"0.16129032258064"
"BBLD0030";"2107";"1751";"0.37019969278033"
"BBLD0040";"1151";"963";"0.1890909090909"
"BBMA0020";"192";"143";"0.53125"
"BBMA0030";"3163";"2077";"0.27761304670126"
"BBMA0040";"311";"94";"1.67752442996742"
"BBPA0010";"80";"61";"0.21917808219178"
"BBPA0020";"633";"524";"0.06099815157116"
"BBPA0030";"41";"11";"3.025"
"BBQP0010";"2496";"676";"6.9805249788315"
"BCBP0010";"174";"80";"3.29411764705882"
"BCCA0010";"994";"624";"1.2741273100616"
"BCFA0030";"6595";"6391";"0.02287381025483"
"BCFA0040";"675";"600";"0.17948717948717"
"BCFA0050";"815";"788";"0.03589108910891"
"BCFA0060";"170";"159";"0.10179640718562"
"BCFA0070";"1017";"1001";"0.02467917077986"
"BCFA0080";"2207";"1957";"0.2745471877979"
"BCFA0090";"1159";"1100";"0.04782993799822"
"BCHA0010";"354";"298";"0.61142857142857"
"BCLA0010";"487";"448";"0.14020618556701"
"BCLB0010";"12992";"7191";"1.2795963573714"
"BCMA0010";"232";"175";"0.93362831858407"
"BCNP0010";"114";"65";"6.67619047619047"
"BCPA0010";"550";"439";"0.72413793103448"
"BCPA0020";"60";"33";"1.18965517241379"
"BCPA0030";"33";"27";"0.48484848484848"
"BCPA0040";"67";"47";"1.58730158730158"
"BCPA0050";"302";"120";"1.79"
"BDCA0010";"476";"111";"3.08242950108459"
"BDCA0020";"135";"42";"3.09701492537313"
"BDCA0030";"170";"100";"1.44378698224852"
"BDCA0040";"1007";"421";"2.37588652482269"
"BDCB0010";"19";"15";"1.68421052631578"
"BDFA0010";"16";"11";"0.4375"
"BDFA0020";"461";"399";"0.4"
"BDFA0030";"128";"114";"0.23622047244094"
"BDFA0040";"22";"20";"0.13636363636363"
"BDFA0060";"3275";"289";"10.6902325581395"
"BDFA0070";"613";"86";"3.3829431438127"
"BDFP0010";"1835";"1088";"0"
"BDFP0020";"205";"200";"0.27586206896551"
"BDFP0030";"800";"499";"0"
"BDGA0020";"386";"315";"1.06648936170212"
"BDGA0040";"311";"252";"0.50967741935483"
"BDGA0050";"306";"202";"1.58223684210526"
