,annee,ghm.nro,type,url,10ème percentile de la durée de séjour (en nuitée),95ème percentile de la durée de séjour (en nuitée),Age Moyen,Coefficient de variation,Durée de séjour Maximale (en nuitée),Durée de séjour Minimale (en nuitée),Durée moyenne de séjour (en nuitée),Ecart-Type,Ecart-Type de l'age,Effectif,Mode de la durée de séjour (en nuitée),Médiane de la durée de séjour (en nuitée),Nombre de Décès,Nombre moyen d'actes,Nombre moyen d'actes classants,Nombre moyen d'actes non classants,Nombre moyen de diagnostics associés,Pourcentage de Décès,Variance
5720,2017.0,10M18T,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=10M18T,0,1,"62,4","160,36",1,0,"0,28","0,45","19,57",4228,0,0,47,"1,57","0,46","1,11","3,21","1,11","0,2"
5721,2017.0,11C021,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C021,2,10,"61,19","52,4",31,0,"5,14","2,69","13,88",3599,4,5,6,"3,46","1,3","2,16","2,05","0,17","7,24"
5722,2017.0,11C022,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C022,4,17,"65,21","53,47",56,3,"8,43","4,5","14,72",3133,6,7,15,"5,35","1,61","3,74","5,67","0,48","20,29"
5723,2017.0,11C023,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C023,6,28,"67,42","60,34",98,4,"14,29","8,62","14,4",1899,15,13,31,"8,52","1,99","6,52","9,54","1,63","74,31"
5724,2017.0,11C024,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C024,11,60,"68,96","69,54",218,5,"26,08","18,14","12,87",1214,15,22,127,"14,92","2,97","11,95","16,16","10,46","328,92"
5725,2017.0,11C031,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C031,2,8,"35,37","55,17",39,0,"4,22","2,33","25,65",3640,4,4,7,"2,88","1,46","1,42","1,45","0,19","5,42"
5726,2017.0,11C032,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C032,4,17,"46,69","60,25",40,3,"7,75","4,67","23,25",1686,5,7,2,"4,21","1,7","2,51","5,17","0,12","21,83"
5727,2017.0,11C033,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C033,5,31,"52,26","66,26",68,4,"13,47","8,92","22,35",701,6,11,10,"6,75","1,97","4,79","8,84","1,43","79,63"
5728,2017.0,11C034,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C034,8,69,"58,1","98,37",288,5,"25,88","25,46","19,53",563,8,18,42,"12,35","2,74","9,61","15,49","7,46","648,11"
5729,2017.0,11C041,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C041,1,7,"57,86","70,56",15,1,"2,71","1,92","24,08",1110,2,2,3,"2,14","1,41","0,72","2,21","0,27","3,67"
5730,2017.0,11C042,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C042,3,17,"57,09","63,85",28,3,"7,28","4,65","23,91",454,3,6,0,"3,61","1,81","1,8","5,11",0,"21,61"
5731,2017.0,11C043,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C043,4,32,"60,6","76,27",61,4,"12,54","9,56","23,83",279,4,10,8,"5,71","2,04","3,67","8,56","2,87","91,44"
5732,2017.0,11C044,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C044,8,77,"63,14","86,87",123,5,"25,06","21,77","20,66",140,11,18,16,"12,06","2,85","9,21","14,72","11,43","473,78"
5733,2017.0,11C04J,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C04J,0,0,"57,01",,0,0,0,0,"19,44",517,0,0,0,"1,57","1,21","0,36","1,02",0,0
5739,2017.0,11C061,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C061,0,5,"5,93","154,37",14,0,"1,2","1,86",4,605,0,0,0,"1,88","1,39","0,49","0,78",0,"3,45"
5740,2017.0,11C062,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C062,3,12,"4,96","69,95",33,3,"6,14","4,3","3,78",85,3,5,0,"2,29","1,54","0,75","3,11",0,"18,46"
5741,2017.0,11C063,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C063,5,27,"6,7","68,95",27,5,"9,3","6,41","4,62",10,9,8,0,"2,8","1,9","0,9","4,7",0,"41,12"
5742,2017.0,11C064,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C064,12,12,8,,12,12,12,,,1,12,12,0,6,2,4,2,0,
5743,2017.0,11C071,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C071,1,6,"58,98","71,08",14,1,"2,48","1,76","17,91",857,2,2,0,"2,17","1,47","0,7","1,67",0,"3,1"
5744,2017.0,11C072,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C072,3,12,"63,55","64,48",27,3,"5,81","3,74","16,76",213,3,5,1,"2,68","1,55","1,13","4,52","0,47","14,02"
5745,2017.0,11C073,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C073,4,23,"61,6","82,77",57,4,"10,16","8,41","19,16",58,4,8,2,"3,98","1,84","2,14","6,4","3,45","70,66"
5746,2017.0,11C074,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C074,7,20,"60,24","47,08",33,5,"13,48","6,35","24,16",21,10,14,1,"6,38","2,38",4,"10,67","4,76","40,26"
5747,2017.0,11C07J,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C07J,0,0,"56,3",,0,0,0,0,"17,58",559,0,0,0,"1,97","1,51","0,46","0,58",0,0
5748,2017.0,11C081,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C081,2,4,"62,33","51,3",15,2,"2,43","1,24","18,7",901,2,2,2,"2,24","1,41","0,83","2,93","0,22","1,55"
5749,2017.0,11C082,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C082,3,19,"64,25","86,48",53,3,"7,08","6,12","19,87",552,3,5,2,"3,82","1,56","2,26","6,88","0,36","37,5"
5750,2017.0,11C083,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C083,7,45,"64,87","73,73",143,4,"19,52","14,39","23,21",339,14,16,22,"8,42","2,25","6,17","11,68","6,49","207,04"
5751,2017.0,11C084,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C084,9,81,"64,15","73,94",161,5,33,"24,4","22,48",259,25,27,63,"15,81","3,18","12,63","18,69","24,32","595,18"
5752,2017.0,11C08T,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C08T,0,1,"59,29","148,64",1,0,"0,31","0,46","17,07",792,0,0,1,"1,69","1,38","0,31","1,35","0,13","0,21"
5753,2017.0,11C091,pub,https://www.scansante.fr/applications/statistiques-activite-MCO-par-GHM/submit?snatnav=&mbout=undefined&annee=2017&tgeo=fe&codegeo=99&base=100&ghm=11C091,1,3,"66,2","87,92",88,1,"1,9","1,67","15,04",3883,2,2,3,"1,92","1,46","0,46","3,5","0,08","2,79"
